"SKU","Name","Location ID","Stock Level On Hand","Stock Level Available","Location Stock Warn Level","Location Max. Stock Level","Priority"
"ZURICH-HEATER-DELUXE","Zurich - 2400w Wall Mounted Electric Patio Heater - Deluxe","4175","330","330","0","0","4"
"ZURICH-HEATER-DELUXE","Zurich - 2400w Wall Mounted Electric Patio Heater - Deluxe","4174","0","0","0","0","1001"
"ZURICH-HEATER-DELUXE","Zurich - 2400w Wall Mounted Electric Patio Heater - Deluxe","3","1","1","0","0","1000"
"ZURICH-HEATER","Zurich - 1500w Wall Mounted Electric Patio Heater","4174","0","0","0","0","1001"
"ZURICH-HEATER","Zurich - 1500w Wall Mounted Electric Patio Heater","4175","320","320","0","0","4"
"ZURICH-HEATER","Zurich - 1500w Wall Mounted Electric Patio Heater","3","1","1","0","0","3"
"ZORA-DELUXE","Zora - Convector Panel 2000W Heater with WiFi - Deluxe","4174","0","0","0","0","1001"
"ZORA-DELUXE","Zora - Convector Panel 2000W Heater with WiFi - Deluxe","4175","0","0","0","0","4"
"ZORA-DELUXE","Zora - Convector Panel 2000W Heater with WiFi - Deluxe","4179","206","206","0","0","5"
"ZORA-COMPACT","Zora - Convector Panel 1500w Heater with WiFi - Compact","4174","0","0","0","0","1001"
"ZORA-COMPACT","Zora - Convector Panel 1500w Heater with WiFi - Compact","4175","0","0","0","0","4"
"ZORA-COMPACT","Zora - Convector Panel 1500w Heater with WiFi - Compact","4179","213","213","0","0","5"
"ZMROLL91","ZMROLL91","","","","","",""
"ZION-CHAIR-X4","Zion - Dining Chair - White - Set of 4","","","","","",""
"ZION-CHAIR-WHITE","Zion - Dining Chair - White","4174","0","0","0","0","1001"
"ZION-CHAIR-WHITE","Zion - Dining Chair - White","4175","0","0","0","0","4"
"ZION-CHAIR-WHITE","Zion - Dining Chair - White","4180","0","0","0","0","2"
"ZION-CHAIR-WHITE","Zion - Dining Chair - White","4179","2","2","0","0","5"
"ZEN-TABLE-2-OF-2","ZEN-TABLE-2-OF-2","4174","0","0","0","0","1001"
"ZEN-TABLE-2-OF-2","ZEN-TABLE-2-OF-2","4175","0","0","0","0","4"
"ZEN-TABLE-1-OF-2","ZEN-TABLE-1-OF-2","4174","0","0","0","0","1001"
"ZEN-TABLE-1-OF-2","ZEN-TABLE-1-OF-2","4175","0","0","0","0","4"
"ZEN-TABLE","Zen Dining Table","","","","","",""
"ZARA-VENCE-3S","Zara ̢???? Vence 3 Seater Sofa - Grey","4174","0","0","0","0","1001"
"ZARA-VENCE-3S","Zara ̢???? Vence 3 Seater Sofa - Grey","4175","0","0","0","0","4"
"ZARA-VENCE-2S","Zara ̢???? Vence 2 Seater Sofa - Grey","4174","0","0","0","0","1001"
"ZARA-VENCE-2S","Zara ̢???? Vence 2 Seater Sofa - Grey","4175","0","0","0","0","4"
"ZARA-ARMCHAIR","Zara ̢???? Vence Armchair - Grey","4174","0","0","0","0","1001"
"ZARA-ARMCHAIR","Zara ̢???? Vence Armchair - Grey","4175","0","0","0","0","4"
"YORK-EXT-WT-AVA-WHITE-SET","York Extendable White &amp;amp;amp; Ava Dining Set - 8 Seats - White","","","","","",""
"YORK-EXT-WT-AVA-TEAL-SET","York Extendable White &amp;amp;amp; Ava Dining Set - 8 Seats - Teal","","","","","",""
"YORK-EXT-WT-AVA-LT-GREY-SET","York Extendable White &amp;amp;amp; Ava Dining Set - 8 Seats - Light Grey","","","","","",""
"YORK-EXT-WT-AVA-DK-GREY-SET","York Extendable White &amp;amp;amp; Ava Dining Set - 8 Seats - Dark Grey","","","","","",""
"YORK-EXT-WT-AURORA-WHITE","York Extendable White &amp;amp;amp; Aurora Dining Set - 8 Seats - White","","","","","",""
"YORK-EXT-WT-AURORA-TEAL","York Extendable White &amp;amp;amp; Aurora Dining Set - 8 Seats - Teal","","","","","",""
"YORK-EXT-WT-AURORA-GREY","York Extendable White &amp;amp;amp; Aurora Dining Set - 8 Seats - Grey","","","","","",""
"YORK-EXT-WT-ARABELLA-WHITE","York Extendable White &amp;amp;amp; Arabella Dining Set - 8 Seats - White","","","","","",""
"YORK-EXT-WT-ARABELLA-TEAL","York Extendable White &amp;amp;amp; Arabella Dining Set - 8 Seats - Teal","","","","","",""
"YORK-EXT-WT-ARABELLA-GREY","York Extendable White &amp;amp;amp; Arabella Dining Set - 8 Seats - Grey","","","","","",""
"YORK-EXT-WHITE-ORSON-8-SET","York Extendable White &amp;amp;amp; Orson Dining Set - 8 Seats","","","","","",""
"YORK-EXT-GY-AVA-WHITE-SET","York Extendable Grey &amp;amp;amp; Ava Dining Set - 8 Seats - White","","","","","",""
"YORK-EXT-GY-AVA-TEAL-SET","York Extendable Grey &amp;amp;amp; Ava Dining Set - 8 Seats - Teal","","","","","",""
"YORK-EXT-GY-AVA-LT-GREY-SET","York Extendable Grey &amp;amp;amp; Ava Dining Set - 8 Seats - Light Grey","","","","","",""
"YORK-EXT-GY-AVA-DK-GREY-SET","York Extendable Grey &amp;amp;amp; Ava Dining Set - 8 Seats - Dark Grey","","","","","",""
"YORK-EXT-GY-AURORA-WHITE","York Extendable Grey &amp;amp;amp; Aurora Dining Set - 8 Seats - White","","","","","",""
"YORK-EXT-GY-AURORA-TEAL","York Extendable Grey &amp;amp;amp; Aurora Dining Set - 8 Seats - Teal","","","","","",""
"YORK-EXT-GY-AURORA-GREY","York Extendable Grey &amp;amp;amp; Aurora Dining Set - 8 Seats - Grey","","","","","",""
"YORK-EXT-GY-ARABELLA-WHITE","York Extendable Grey &amp;amp;amp; Arabella Dining Set - 8 Seats - White","","","","","",""
"YORK-EXT-GY-ARABELLA-TEAL","York Extendable Grey &amp;amp;amp; Arabella Dining Set - 8 Seats - Teal","","","","","",""
"YORK-EXT-GY-ARABELLA-GREY","York Extendable Grey &amp;amp;amp; Arabella Dining Set - 8 Seats - Grey","","","","","",""
"YORK-EXT-GREY-ORSON-8-SET","York Extendable Grey &amp;amp;amp; Orson Dining Set - 8 Seats","","","","","",""
"YORK-EXT-160-WHITE","York - White Extendable Dining Table - 160","4174","0","0","50","0","1001"
"YORK-EXT-160-WHITE","York - White Extendable Dining Table - 160","4175","0","0","0","0","4"
"YORK-EXT-160-WHITE","York - White Extendable Dining Table - 160","3","0","0","0","0","0"
"YORK-EXT-160-GREY","York - Grey Extendable Dining Table - 160","4174","0","0","50","0","1001"
"YORK-EXT-160-GREY","York - Grey Extendable Dining Table - 160","4175","0","0","0","0","4"
"YORK-EXT-160-GREY","York - Grey Extendable Dining Table - 160","4179","74","74","0","0","5"
"YORK-EXT-160-GREY","York - Grey Extendable Dining Table - 160","3","0","0","0","0","0"
"YORK-EXT-160-GREY","York - Grey Extendable Dining Table - 160","4180","0","0","0","0","2"
"YORK-70-WT-ORSON-4-SET","York 70cm White &amp;amp;amp; Orson Dining Set - 4 Seats","","","","","",""
"YORK-70-WT-ORSON-2-SET","York 70cm White &amp;amp;amp; Orson Dining Set - 2 Seats","","","","","",""
"YORK-70-WT-AVA-WT-2-SET","York 70cm White &amp;amp;amp; Ava Dining Set - 2 Seats - White","","","","","",""
"YORK-70-WT-AVA-WHITE-4-SET","York 70cm White &amp;amp;amp; Ava Dining Set - 4 Seats - White","","","","","",""
"YORK-70-WT-AVA-TEAL-4-SET","York 70cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Teal","","","","","",""
"YORK-70-WT-AVA-TEAL-2-SET","York 70cm White &amp;amp;amp; Ava Dining Set - 2 Seats - Teal","","","","","",""
"YORK-70-WT-AVA-LT-GY-4-SET","York 70cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Light Grey","","","","","",""
"YORK-70-WT-AVA-LT-GY-2-SET","York 70cm White &amp;amp;amp; Ava Dining Set - 2 Seats - Light Grey","","","","","",""
